,eps,minPts,sh,ri,ari,clusters,clusters_size
0,0.5,2,-0.062169536342011014,0.8278782896001508,0.25313797450067127,417,"[ 1378    33   123  3358     2     3    66   671     3     7     2     5
 20225  2017    45     6     7   179   140   130    64     2    19     3
   151   130   103     3    14    20    26     3     2     7    29    18
   120   174   285   121    40    15     2    13   115    10    46    39
    10     3    10    23    16    31    23    12     2     6    13    41
    19     3    11     2     2   804    35    20    19     2    50    22
     2     2     4     2    41  9407 12786     2     2     4     8     4
     3     7    55    24     3     2    25    16     8     2     3    65
    28     9     6    12     3     3     4     2     3     2     8     3
     8     5     2     3     5     2     2   115     2     6     5    36
     2     3     3     4    20     3     2     3     7     4     2    46
     5     6     2     2    13    46     4     8     8     6     2     3
     3     5     4     7     7     3    23     3    24     6    16     6
     2    16     7     3     3     2    34    70     3     2     2     8
    17     3     3     2     4     2     2     2     3     8     2     2
     5     2     7    10     2     2     3     5     3     5     2     6
     9     6     3     3     2     2     3     2     2     5     2     2
     5     2     2     3     5     2     2     3     2     4    26     2
    16    10     4     3     2     2     2     5    16    23     3     3
     5     3    15     2     6     5     4     3     4     4     6     2
     3     2     3     2     3    21     3     9     2     2     2     4
     2     2     3     2     3     7     2     4     3     2     3     7
     3     2     2     4     2     2     2     2     3     5     4     5
     2     3     2     3     3     2     2     2     3     5     2     2
     4     2     2     2     2     3     2     7     4     2     3     5
     2     2     3     2     4     3     3     3     3     2     2     2
     2     2     2     3     2     2     2     2     2     3  1431  5236
    83  1340     4     2     3     2     2     5     2     2     2     2
     2     4     2     4     2     2     2     2     5     3     2     2
     2     2     2     3     2     2     5     2     2     3     2     2
     2     2     3     3     2     2     2     2     2     2     5     2
     2     2     2     4     6     5     2     3     3    12     2     2
     2     2     2     2     2     2     3     2     3     2     2     3
     2     2     3     3     2     2     2     2     2   872    51     3
    28     2     2     2     3     2     2     2     2]"
1,0.5,4,0.11224227286425738,0.8287056386303119,0.25521900554195903,172,"[ 1992    33   123  3358    66   671     7     5 20117  2016    45     6
   179   140   130    64    19   151   130   103    14    20    26     7
    29    18   120   174   285   121    39    15    13   115    10    46
    39    10    10    23    16    31    23    12     6    13    41    19
    11   803    35   106    12    19    50    22    41  9407 12786     8
     4     8     4     7    55    24    25     8    65    28     9     6
    12     4     8     5     5   115     6     5    36     4    20     7
     4    46     5     6    13     8     8     6     5     4     7     7
    23    24     6    16     6    16     7    34    70     8    17     8
     8    16     5     7    10     5     5     6     9     6     5     5
     5    26    46    16     9    16    23    15     5     6     5     4
     6     4    21     9     4     4     7     4     4     7     4     7
     5     4     5     5     4     7     4     5     4     4  1411  5236
    80  1340     8     4     5     4     5     5    12     5     4     4
   872    51    25     3]"
2,0.5,6,0.14628379535262098,0.8453871755351426,0.2652968724580236,128,"[ 2338    33   121  3358    66   671     7 17241  2016    45     6   178
   140   130    64    19   151   130   103    14    20    26    29    18
   120   174   285   121    38    15    13   115    10    46    39    10
    10    23    16    31    23    12     6    12    41    19    11   803
  2864    35   107    19    50    22    41  9404 12785     9     8    55
    24    25     8    65    28     9     6    12     8     7     6   115
     6    36    20    46    13     7     7     7     7    23    24     6
    16    16    34    70     8    17     8     8    16     7    10     6
     6    26    44    16     6     8    16    20    14     6     6    15
     9     7     6     7     7     7     7     6     6  1336  5236    61
  1340    15     8    10     5   872    49    15]"
3,0.5,8,0.3211852226182293,0.9056545983827409,0.41351809756196695,107,"[2669   15  118 3358   66  671 2019 2016   45  171  140  130   64  151
  130  103   14   20   29   18  120  174  285  121   38   26  115   10
   46   39   10   23   16   31   23   12   11   41   19   11   25    9
 2866   35  130 6733  107 8342   19   50   22   10   41 9400 8636    8
   55   24 4149   25   65   28    9   12    8  115   36   20   46   13
   23   24   16   16   34   70    8   15    8   16    8   10   12   26
   41   16   16   19   13   14    9    8   12   15  778    6    8 1241
 5236   53 1340   11   16   16  871   49    9]"
4,1.0,2,0.1668351135943646,0.5989528529465494,0.1288210059796846,321,"[  638  4062   129     3     3    70     5     7     2    15 42489     2
  2101   332     6     8   190   140   130    64    35    30    22   161
     2   306   103     3    14    20    51     2     3    18   123   174
   123     2     2     3     2    13     2   116     4    10    52    40
    10     4    15    16    32    27    23     2    12     2     6    15
     6    15    16   816    66     2    65    20     2    51    22     2
     2     7    37     4     4     8     4     7    56    24  1380     2
     2    65    29     9     6     3     3     4     5     2     3     3
     8     8     5     2     3     2     7   115     2     6     5    13
     3     2    10     7    44    10     2     7     2    46    10    52
     2    13    77     6     8     5     6     4     2     2     2     3
     5     3     5     6     4     8     7     3     2    24     6    16
     4     3    16     3     7     3     2     7     2     2     2     2
     3     2     2     3     2     4     2     3     3     9     2     2
     3     5    10     2     2     3    12     3     6     2     3     6
    12     9     4     2     4     2     5     5     2     2    76     4
     4     3     2     2     2     2     8     3     2     2     3     3
     3     5     6     6    10     6     7     2     2     3     2     2
     2     3     2     2     4     2     2     3     3     5     3     7
     3     7     3     2     2     2     4     2     2     4     5     3
     2     3     2     2     3     2     5     3     2     2     3     2
     2     7     5     2     3     5     3     2     4     3     6     3
     2     2     2     3     2     2  2721  5236   112    36     2     3
     3    50     2     5     3     3    12     3     2     5     4     3
     2     3     2     3     5     3     2     4    12     2     3     2
     4     3     3     2     2     4     2     3     2     3     5     2
     2     2     2    51    14     5     8     2     2]"
5,1.0,4,0.18740923615405924,0.5989289678205146,0.1290116086194708,161,"[ 1068  4062   129    70     7    14 42489  2101   332     6     8     4
   190   140   130    64    35    30    22   161   306   103    14    20
    51    18   123   174   123    13   116    10    52    40    10    14
    16    32    27    23    12     6    15     6    14   816    66    65
    20    51    22     7    37     4     4     8     4     7    56    24
  1380    65    29     9     6     4     8     8     5   115     6     5
    13    10     7    44    10     7    46    10    52    13    77     6
     8     6     5     5     4     8     7    24     6    16    16     7
     7     4    10     9     5    10     4    12     6     6    12     9
     4     4     5     5    54     4     5     4     4     8    21     5
     6     6     6     6     7     3     4     5     7     4     4     4
     7     5     6     5     4     7     5     5     4     3     6     4
  2705  5236   112    49     5    34     4     8    11     6     5     4
     5    51    14     4     8]"
6,1.0,6,0.18504443082707073,0.5988327245560825,0.12876285206865493,121,"[ 1356  4062   129    70     7    14 42489  2101   332     6     8   190
   140   130    64    33    30    22   161   306   103    14    20    51
    18   123   174   123    13   116    10    52    40    10    14    16
    32    27    23    12     6    15    14   816    66    65    20    51
    22     7    37     8     7    56    24  1380    65    29     9     6
     8     8   115     6    13    10    44    10     7    46    10    52
    13    77     8     6     8     7    24     6    16    16     7     7
     9    10     6     6     6    10     9    12    54    21     6     7
     6     6     7     6     8     7     6     9     7     6  2552  5236
   107    54    48    36     9     5    13     7     5     4    51    12
     8]"
7,1.0,8,0.30170238401238714,0.5987944352673563,0.12896231228986632,88,"[ 1642  4062   128    70    14 42489  2101   332     8   190   140   130
    64    33    30    22   161   306   103    14    20    51    18   123
   174   123    13   116    10    52    40    10    13    16    32    27
    23    12    15    14   815    65    65    20    51    22    37     8
    56    24  1380    65    29     9     8     8   115    10    13    44
    10    46     9    52    13    76     8     8    24    16    16     9
    10    10     9    54    21     8  2532  5236   106    37    48    17
    10    11     7    51]"
8,1.5,2,0.137528445049351,0.5183671857401042,0.109224686753594,258,"[  408 46559   286     3     3     2     5     7     2     4     2    16
     2  2104   339    32     8   191   140   130    64    22    35    33
    22     2   162     2   350   103     6    14    20    51     2    18
    18   123   174   123     7     2     2    13     2   352     2     6
    10    52    53     4    17    40   123    23     2    12     2     7
    15     6    16     2     2    16   830    66     2    23     3     2
    51     2     2     7     4     4     8     3    56    24  9679    35
     4     5     2     2     3     3     8     2     8     5     2     8
     8     8     2    13    10     7    44    15     2     7    10    54
    13     8     5     6     9     2     2     2     8     5     3     5
     7     2     5     8     9    87     2    25     6    16     4     3
    16     3     3     2     7     5     2     5     7     8     2     2
     3     2     4     3     3     3     9     2     2     5    10     2
     2     3    12     3     6     3     6    12     9     4     2     2
     2     2     4    14     2     2     2     2     3     2     2     2
     3     3     3     5     6     6     2     6     7     2     3     2
     2     2     3     2     2     4     2     5     4     7     3     7
     3     2     2     2     5     2     5     2     5     3     2     3
     2     3     2     2     8     5     2     2     3     2     2     3
     3     5     4     6     5     3     2     2     2     2     2     2
     2     6    53    10    50     2     3     2     6     2     8     2
     2     2    19     2     2     2]"
9,1.5,4,0.15823374957446393,0.5183703457381105,0.1093082340889174,139,"[  694 46559   286     7     4    16  2104   339    32     8     5   191
   140   130    64    35    33    22   162   350   103     6    14    20
    51    11    18   123   174   123     7     7    13   352     6    10
    52    53    22     4    17    40   123    23    12     7    15     6
    16    16   830    66    23    51     7     4     4     8    56    24
  9675    35     4     5     8     8     5     8     8     5    13    10
     7    44    15     7    10    54    13     8     5     6     8     5
     5     7     5     8     9    85    25     6    16     4    16     7
     5     5     7     8     4     9     5    10    12     6     6    12
     9     4     4    14     9     5     6     6     6     7     4     5
     4     7     7     5     5     5     8     5     5     4     6     5
     5    53    10    50     7     4    19]"
