,m,sh,ri,ari,clusters
0,1,-0.21440198535803448,0.8279928390432173,0.25240750280255936,1794
1,3,-0.028604552004977208,0.8278146447200598,0.2535148016954406,253
2,5,0.1239131561144915,0.8287116683136242,0.2553682395638239,150
3,7,0.2986487774826401,0.8991957354822685,0.3933424749028828,118
4,9,0.3198237064638382,0.905596095284682,0.4135532134720363,99
5,11,0.3130785913950146,0.9055022312273376,0.41352426252639995,91
6,13,0.34256598323033255,0.9053588860601075,0.41353536641301314,82
7,15,0.34582627228294727,0.9056494507847616,0.414462835735205,75
8,17,0.34769886731216304,0.9054449170058293,0.41424929319106946,66
9,19,0.3455034128221516,0.9053128004940915,0.4139707279560268,65
10,21,0.337606619049181,0.9051448223669424,0.4136618361386301,63
11,23,0.3448404460458234,0.9049576613071109,0.4140256498880357,55
12,25,0.34772477859587203,0.9047877183591155,0.41394353949078794,52
13,27,0.34789126928228725,0.90451811140038,0.41355254671610314,47
14,29,0.32341040174564034,0.9043774963357218,0.4131616979955525,47
15,31,0.3206656082801854,0.9041371547388904,0.41272028874349986,46
16,33,0.3032013808136368,0.9036882658748615,0.4115435690138542,44
17,35,0.28662148434726853,0.9035401099499303,0.4105531298046079,43
18,37,0.2686097539907134,0.9031356694627661,0.40868688135164455,44
19,39,0.28084807309291376,0.9028750156701612,0.4085618300750371,42
